#,产品/品牌,公司,国家,品类,平台,AI 可移除性(刀1),AI 存在位置(刀2),核心机制,融资/估值,规模(MAU/流水/DAU),付费模式,状态,战略位置评分(1-5),备注/来源
1,猫箱,字节跳动,中国,AI 陪伴/角色,iOS/Android,AI-native,Runtime,UGC 角色 + LLM 实时对话,内部孵化,DAU >100 万,免费+订阅,增长,4,S-2.1-01
2,星野,MiniMax,中国,AI 陪伴/乙女,iOS/Android,AI-native,Runtime,角色扮演 + 语音 + 剧情,母公司 $600M+,流水 >3 亿,订阅+钻石,跑通,5,S-2.1-02 · 中国头部
3,筑梦岛,聆心智能,中国,AI 剧情,iOS/Android,AI-native,Runtime,剧情分支 + 角色养成,数千万元,MAU ~200 万,订阅,增长,4,S-2.1-03
4,豆包,字节跳动,中国,通用助手+游戏壳,iOS/Android/Web,AI-augmented,Runtime,助手 + 角色+小游戏插件,内部,MAU ~1 亿,免费+广告,增长,3,S-2.1-04
5,Kimi,月之暗面,中国,长文本助手,全端,AI-washed,None,非游戏,$1.3B,MAU ~3600 万,免费,稳,2,S-2.1-05 · 非游戏
6,彩云小梦,彩云科技,中国,AI 小说,iOS/Android,AI-native,Runtime,续写小说 + 角色,早期,付费 ~50 万,订阅,稳,3,S-2.1-06
7,Glow,MiniMax 前身,中国,AI 陪伴,iOS/Android,AI-native,Runtime,LLM 角色扮演,-,已下架,-,死,1,S-2.1-07 · 监管下架
8,X Eva / 微光,小冰,中国,数字人陪伴,iOS/Android,AI-native,Runtime,数字克隆 + 陪聊,独立,订阅 ~30 万,订阅,稳,3,S-2.1-08
9,逗逗游戏伙伴,逗逗科技,中国,PC 桌面陪玩,Windows,AI-native,Runtime,屏幕识别 + 语音,天使+A,MAU ~150 万,订阅,增长,4,S-2.1-09
10,猫耳/Aily 等,小厂集合,中国,AI 乙女,iOS/Android,AI-native,Runtime,剧情+养成,十万级,十万级,订阅,碎片,2,S-2.1-10
11,Whispers from the Star,Anuttacon(蔡浩宇),中国→美国,AI-native 游戏,Mobile/PC,AI-native,Runtime,文字剧情 + LLM NPC,蔡浩宇个人,未发售,未定,测试,4,S-2.1-11 · 蔡浩宇首作
12,rct AI · Chaos Box,rct AI,中国,B 端 NPC 引擎,SDK,Enabler,Pipeline(Dev),NPC 行为生成 SDK,$10M+,B 端,B2B,转型,2,S-2.1-12
13,ChattyGame,超参数,中国,文字生成小游戏,Web,AI-native,Runtime,文本→小游戏,母公司 A 轮,Demo,免费,挣扎,2,S-2.1-13
14,逆水寒手游,网易,中国,MMORPG+AI NPC,iOS/Android,AI-augmented,Runtime,AI NPC 10 万条设定,内部,累计 >80 亿,免费+道具,稳,3,S-2.1-14 · AI NPC 标杆
15,原神/星穹铁道,米哈游,中国,开放世界 RPG,全端,AI-washed,Pipeline(Dev),内部美术 AI,内部,40 亿美金/年,抽卡,稳,3,S-2.1-15
16,寻道大千,三七互娱,中国,小游戏放置,微信/抖音小游戏,AI-washed,Pipeline(Dev),放置卡牌 + AI 买量素材,上市公司,流水 Top 1,IAA+IAP,稳,4,S-2.1-16 · 小游戏王者
17,咸鱼之王,豪腾嘉科,中国,小游戏卡牌,微信/抖音小游戏,AI-washed,Pipeline(Dev),买量 AI 素材,独立,累计 >30 亿,IAA+IAP,稳,3,S-2.1-17
18,无尽冬日,点点互动,中国→Global,SLG,iOS/Android,AI-washed,Pipeline(Dev),AI 出海买量,世纪华通子,15 亿美金,IAP,增长,4,S-2.1-18 · SLG 出海王
19,抓大鹅/疯狂梗传,多厂,中国,休闲小游戏,小游戏,AI-washed,Pipeline(Dev),买量+关卡复制,-,月 1-3 亿,IAA,稳,2,S-2.1-19
20,羊了个羊,简游,中国,休闲 baseline,小游戏,AI-free,None,纯手工休闲,-,已过气,IAA,死,1,S-2.1-20 · 非 AI 对照
21,微信/混元游戏 SDK,腾讯,中国,平台 enabler,Platform,Enabler,Pipeline(Dev),Token 补贴 + NPC SDK,内部,开发者 N/A,平台分成,早期,3,S-2.1-21
22,抖音豆包 token 补贴,字节,中国,平台 enabler,Platform,Enabler,Pipeline(Dev),Token 补贴,内部,-,平台分成,早期,3,S-2.1-22
23,快手 × 可灵,快手,中国,playable ads,Platform,Enabler,Pipeline(Dev),视频→playable,内部,-,广告,早期,3,S-2.1-23
24,支付宝通义,阿里,中国,非游戏,Platform,AI-free,None,非游戏,内部,-,-,非游戏,1,S-2.1-24
25,PICO 嘘嘘岛,字节 PICO,中国,VR 沙盒,PICO,AI-augmented,Runtime,VR + 轻 AI,内部,停摆,-,死,1,S-2.1-25
26,Pantheon Lab,香港,中国香港,B 端数字人,SDK,Enabler,Pipeline(Dev),数字人 SDK,B+ 轮,B 端,B2B,稳,2,S-2.1-26
27,iKala/Hahow,台湾,中国台湾,AI 教育,Web,AI-washed,Pipeline(Dev),教育课+AI 壳,B 轮,B2C,订阅,稳,2,S-2.1-27
28,AI Dungeon,Latitude,美国,AI 文字冒险,Web/iOS/Android,AI-native,Runtime,LLM 文字冒险,$3.3M seed,下滑中,订阅,萎缩,3,S-2.2-A1 · GenAI 游戏鼻祖
29,Suck Up!,Proxima Enterprises,美国,LLM 对话游戏,Steam/Quest,AI-native,Runtime,吸血鬼说服 NPC,自筹,Steam 热销,买断,增长,4,S-2.2-A2 · 小而美范式
30,1001 Nights,Tianyu Xu (indie),美国/中国,AI 生成故事,PC/itch,AI-native,Runtime+Pipeline Hybrid,AI 生成图/词变武器,无,独立小体量,买断,稳,2,S-2.2-A3 · Pipeline(Embedded)
31,Hidden Door,Hidden Door Inc,美国,多人 AI RP,Web,AI-native,Runtime,书籍世界 → RPG,$20M Series A,闭测,订阅,警告,2,S-2.2-A4 · 2025 Q1 缩编
32,Altera(Project Sid),Altera.al,美国,Minecraft AI 村民,Minecraft mod,AI-native,Runtime,多 agent 社会模拟,$11M (a16z),Demo,B2C 未定,早期,2,S-2.2-A5
33,Infinite Craft,Neal Agarwal,美国,LLM Web 小游戏,Web,AI-native,Runtime+Pipeline Hybrid,元素合成 LLM 推理,无融资,现象级 MAU,免费,现象级,4,S-2.2-A6 · solo 零融资
34,Inworld Origins,Inworld AI,美国,demo 侦探,PC,AI-native,Runtime,LLM NPC 侦探,母 $120M,Demo,免费,Demo,3,S-2.2-A7
35,AI Roguelite,Big Moustache,美国,Roguelite,Steam,AI-native,Runtime,AI 生成敌人+任务,indie,稳,买断,稳,2,S-2.2-A8
36,Series/Rho,Series Entertainment,美国,AI 游戏平台,Web,AI-native,Runtime+Pipeline Hybrid,middleware+native,$28M Series A,早期,SaaS+B2C,早期,3,S-2.2-A9
37,Retail Mage,Jam & Tea Studios,美国,LLM 解谜,Steam,AI-native,Runtime,店铺对话解谜,未披露,早期,买断,早期,2,S-2.2-A10
38,Character.AI,Character Technologies,美国,AI 陪伴,Web/iOS/Android,AI-native,Runtime,UGC 角色 + 对话,$1.5B→$2.7B Google,MAU 2000 万+,订阅,准退出,5,S-2.2-B1 · 赛道定义者
39,Replika,Luka Inc,美国,AI 陪伴,iOS/Android,AI-native,Runtime,个性化伴侣,累计 $11M,MAU 数百万,订阅,稳,3,S-2.2-B2
40,Pi / Inflection,Inflection AI,美国,AI 助手/陪伴,Web/iOS,AI-native,Runtime,情感型助手,$1.3B→MSFT $650M,人才被挖,免费,准退出,3,S-2.2-B3
41,Talkie,MiniMax US,美国,AI 陪伴,iOS/Android,AI-native,Runtime,星野海外版,母 $600M+,增长,订阅,增长,4,S-2.2-B4
42,Kindroid,Kindroid,美国,NSFW 陪伴,iOS/Android,AI-native,Runtime,无审查伴侣,未披露,增长,订阅,增长,3,S-2.2-B5
43,Inworld AI,Inworld,美国,NPC SDK,SDK,Enabler,Pipeline(Dev),NPC 行为 + 对话 SDK,$120M+/~$500M,行业领跑,B2B,领跑,5,S-2.2-C1 · middleware 领跑
44,Convai,Convai,美国,NPC API,SDK,Enabler,Pipeline(Dev),NPC API,$10M seed,B 端,B2B,稳,3,S-2.2-C2
45,Rosebud AI,Rosebud,美国,no-code 游戏生成,Web,Enabler,Pipeline(Creator),text-to-game,$4M seed,增长,SaaS,增长,4,S-2.2-C3 · P-Creator
46,Scenario,Scenario.gg,美国,AI 美术,Web,Enabler,Pipeline(Dev),风格化贴图生成,$6M+,B 端,SaaS,稳,3,S-2.2-C4
47,Layer AI,Layer,美国,AI 美术 pipeline,Web,Enabler,Pipeline(Dev),美术管线,$1.9M,B 端,SaaS,稳,2,S-2.2-C5
48,Promethean AI,Promethean,美国,场景生成,SDK,Enabler,Pipeline(Dev),场景自动搭建,小额,B 端,B2B,老牌,2,S-2.2-C6
49,Kinetix,Kinetix,美国,AI emote/动作,SDK,Enabler,Pipeline(Dev),动作生成,$11M,B 端,B2B,稳,3,S-2.2-C7
50,Artificial Agency,Artificial Agency,美国/加拿大,Runtime behavior SDK,SDK,Enabler,Runtime,Runtime AI middleware,$16M seed,B 端,B2B,早期,3,S-2.2-C8
